site_id,type
10100,NA
10101,NA
10102,NA
10109,NA
10114,NA
10206,NA
10223,reintroduction
10223,NA
10225,reintroduction
10225,NA
10276,reintroduction
10277,reintroduction
10284,reintroduction
10285,reintroduction
10285,NA
10314,reintroduction
10315,reintroduction
10316,reintroduction
10422,NA
10475,reintroduction
10476,reintroduction
10477,reintroduction
10477,NA
10486,NA
11008,NA
11009,NA
11359,reintroduction
11506,NA
11858,NA
11896,NA
12361,reintroduction
12534,reintroduction
12562,NA
12590,NA
12618,NA
12621,NA
20135,reintroduction
20196,reintroduction
20198,reintroduction
20199,reintroduction
21520,reintroduction
22008,reintroduction
22008,NA
22019,NA
50170,NA
50183,NA
50194,NA
50219,NA
50783,translocation
50783,NA
50785,reintroduction
50839,NA
54188,NA
70034,translocation
70114,NA
70134,translocation
70175,translocation
70175,NA
70279,translocation
70279,NA
70327,reintroduction
70327,NA
70355,NA
70370,translocation
70399,NA
70413,translocation
70413,NA
70414,translocation
70442,NA
70449,translocation
70449,NA
70470,reintroduction
70481,reintroduction
70505,translocation
70505,NA
70550,translocation
70550,NA
70556,translocation
70556,NA
70567,translocation
70571,NA
70611,NA
70619,translocation
70627,NA
70628,translocation
70641,reintroduction
70641,translocation
70641,NA
70650,NA
70688,translocation
71362,NA
71679,NA
71811,NA
72008,NA
72021,NA
72092,translocation
72093,translocation
72093,NA
72336,NA
72442,translocation
72442,NA
72695,reintroduction
72808,NA
72849,NA
72973,translocation
72973,NA
72989,NA
72996,translocation
72996,NA
74060,NA
74061,NA
74281,NA
74976,translocation
74976,NA
82643,NA
82644,NA
82645,NA
82646,NA
82682,reintroduction
82682,translocation
82682,NA
84218,translocation
84218,NA
84221,translocation
84221,NA
84226,reintroduction
84226,translocation
84226,NA
84235,reintroduction
84235,translocation
84235,NA
84237,NA
84255,reintroduction
84255,translocation
84255,NA
84266,reintroduction
84277,NA
84292,NA
84303,NA
84306,NA
84307,NA
84309,translocation
84309,NA
84310,NA
84312,NA
84313,reintroduction
84313,translocation
84317,NA
84325,reintroduction
84326,reintroduction
84327,reintroduction
84962,translocation
84962,NA
84963,NA
87495,NA
